new_tip_label,data_percent_missing,data_number_missing,data_percent_ambiguous,data_number_ambiguous,Crown_Dating
Glyphoglossus_molossus,53.02343642,307239,0.026577385,154,
Hamptophryne_boliviana,58.12353307,336791,0.003796769,22,
Hylophorbus_rainerguntheri_2,53.3559989,309166,0.005867734,34,
Hyophryne_histrio,51.94273782,300977,0.00017258,1,
Kalophrynus_pleurostigma,52.87777854,306395,0.005004832,29,
Kaloula_pulchra,52.59457407,304754,0.000345161,2,
Mantophryne_infulata,9.859692117,57131,0.080422477,466,
Metamagnusia_slateri,10.46562198,60642,0.092848267,538,
Metaphrynella_sundana,54.78461963,317444,0.000517741,3,
Microhyla_achatina,27.67119978,160338,0.141861107,822,
Microhyla_ornata,52.86794146,306338,0.010699986,62,
Micryletta_inornata,28.53772608,165359,0.23695292,1373,
Myersiella_sp,52.12567306,302037,0.000345161,2,
Oreophryne_anamiatoi,11.14662433,64588,0.043145106,250,
Oreophryne_biroi,12.05905702,69875,0.2371255,1374,
Oreophryne_hypsiops,8.238299047,47736,0.125638548,728,
Oreophryne_notata_2,15.34826729,88934,0.088361176,512,
Oxydactyla_alpestris,5.98854066,34700,0.040556399,235,
Phrynomantis_bifasciatus,52.19194395,302421,0.000690322,4,
Platypelis_occultans,52.18469557,302379,0.002761287,16,
Pseudocallulops_sp_1,10.86773436,62972,0.083874085,486,
Ramanella_variegata_cf,52.26494546,302844,0.000345161,2,
Sphenophryne_cornuta,12.56954991,72833,0.161707856,937,
Stumpffia_grandis,52.60820792,304833,0.002416126,14,
Stumpffia_roseifemoralis,53.28990059,308783,0.006040315,35,
Synapturanus_salseri,52.53952092,304435,0.000862902,5,
Syncope_carvalhoi,54.16194947,313836,0.000517741,3,
Xenobatrachus_fuscigula,52.97045423,306932,0.000345161,2,
Xenorhina_arboricola,6.476770675,37529,0.060920889,353,
