Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
Crown_Oz_L115.fasta-gb_NT.fasta	91	792	72072	1054	1.462	405	0.511	343	0.433	0.446	0.554	15388	20046	19274	16223	0	0	30	57	0	0	0	0	0	0	0	1054	0	0	0
Crown_Oz_L116.fasta-gb_NT.fasta	99	1029	101871	3273	3.213	569	0.553	494	0.48	0.486	0.514	24660	26214	24433	23219	0	0	29	43	0	0	0	0	0	0	0	1803	0	1470	0
Crown_Oz_L117.fasta-gb_NT.fasta	81	1305	105705	12763	12.074	534	0.409	438	0.336	0.537	0.463	23178	19905	23185	26552	0	0	38	84	0	0	0	0	0	0	0	12118	0	645	0
Crown_Oz_L118.fasta-gb_NT.fasta	100	1236	123600	9635	7.795	665	0.538	559	0.452	0.553	0.447	32483	27039	23851	30548	0	0	14	30	0	0	0	0	0	0	0	5504	0	4131	0
Crown_Oz_L119.fasta-gb_NT.fasta	98	885	86730	1391	1.604	569	0.643	453	0.512	0.498	0.502	26560	22578	20275	15863	0	0	33	30	0	0	0	0	0	0	0	1391	0	0	0
Crown_Oz_L12.fasta-gb_NT.fasta	99	1389	137511	6001	4.364	860	0.619	727	0.523	0.602	0.398	45173	23533	28753	33953	0	0	46	52	0	0	0	0	0	0	0	3781	0	2220	0
Crown_Oz_L120.fasta-gb_NT.fasta	99	1404	138996	3939	2.834	859	0.612	716	0.51	0.549	0.451	41430	32658	28258	32641	0	0	36	34	0	0	0	0	0	0	0	3939	0	0	0
Crown_Oz_L121.fasta-gb_NT.fasta	73	714	52122	3807	7.304	433	0.606	354	0.496	0.575	0.425	13490	10484	10036	14273	0	0	19	13	0	0	0	0	0	0	0	2802	0	1005	0
Crown_Oz_L122.fasta-gb_NT.fasta	64	1422	91008	5935	6.521	903	0.635	691	0.486	0.474	0.526	22757	25614	18983	17622	0	0	41	56	0	0	0	0	0	0	0	4414	0	1521	0
Crown_Oz_L123.fasta-gb_NT.fasta	83	1422	118026	2349	1.99	677	0.476	568	0.399	0.437	0.563	25495	37413	27671	25037	0	0	24	37	0	0	0	0	0	0	0	1851	0	498	0
Crown_Oz_L124.fasta-gb_NT.fasta	75	1614	121050	2453	2.026	670	0.415	480	0.297	0.569	0.431	37621	26227	24915	29793	0	0	11	30	0	0	0	0	0	0	0	2234	0	219	0
Crown_Oz_L125.fasta-gb_NT.fasta	100	1080	108000	940	0.87	601	0.556	512	0.474	0.54	0.46	36171	23868	25327	21585	0	0	56	53	0	0	0	0	0	0	0	940	0	0	0
Crown_Oz_L126.fasta-gb_NT.fasta	99	714	70686	1838	2.6	351	0.492	307	0.43	0.458	0.542	16689	19174	18093	14842	0	0	25	25	0	0	0	0	0	0	0	1016	0	822	0
Crown_Oz_L127.fasta-gb_NT.fasta	99	966	95634	1940	2.029	528	0.547	429	0.444	0.625	0.375	35518	15578	19488	23064	0	0	28	18	0	0	0	0	0	0	0	1349	0	591	0
Crown_Oz_L128.fasta-gb_NT.fasta	100	1500	150000	412	0.275	642	0.428	579	0.386	0.576	0.424	42112	32115	31199	44090	0	0	35	37	0	0	0	0	0	0	0	412	0	0	0
Crown_Oz_L129.fasta-gb_NT.fasta	94	1530	143820	1656	1.151	721	0.471	602	0.393	0.564	0.436	43943	30127	31748	36229	0	0	64	53	0	0	0	0	0	0	0	1656	0	0	0
Crown_Oz_L13.fasta-gb_NT.fasta	70	807	56490	2681	4.746	561	0.695	420	0.52	0.598	0.402	17683	11080	10534	14461	0	0	26	25	0	0	0	0	0	0	0	2678	0	3	0
Crown_Oz_L130.fasta-gb_NT.fasta	99	969	95931	5538	5.773	669	0.69	572	0.59	0.587	0.413	30454	17651	19654	22584	0	0	30	20	0	0	0	0	0	0	0	5463	0	75	0
Crown_Oz_L131.fasta-gb_NT.fasta	64	762	48768	2651	5.436	552	0.724	459	0.602	0.55	0.45	14496	11692	9043	10857	0	0	18	11	0	0	0	0	0	0	0	2642	0	9	0
Crown_Oz_L132.fasta-gb_NT.fasta	98	714	69972	1754	2.507	387	0.542	334	0.468	0.552	0.448	23912	14515	16065	13679	0	0	21	26	0	0	0	0	0	0	0	692	0	1062	0
Crown_Oz_L133.fasta-gb_NT.fasta	99	1458	144342	3425	2.373	836	0.573	712	0.488	0.601	0.399	43386	25729	30511	41226	0	0	33	32	0	0	0	0	0	0	0	3131	0	294	0
Crown_Oz_L134.fasta-gb_NT.fasta	89	1404	124956	2456	1.965	857	0.61	693	0.494	0.565	0.435	36638	24759	28442	32588	0	0	40	33	0	0	0	0	0	0	0	1661	0	795	0
Crown_Oz_L135.fasta-gb_NT.fasta	99	1617	160083	1425	0.89	951	0.588	811	0.502	0.538	0.462	45403	37407	35758	39939	0	0	62	89	0	0	0	0	0	0	0	1425	0	0	0
Crown_Oz_L136.fasta-gb_NT.fasta	72	1587	114264	2049	1.793	1018	0.641	829	0.522	0.534	0.466	32330	26757	25475	27533	0	0	59	61	0	0	0	0	0	0	0	2049	0	0	0
Crown_Oz_L137.fasta-gb_NT.fasta	97	1419	137643	5048	3.667	792	0.558	710	0.5	0.501	0.499	40514	31398	34697	25904	0	0	43	39	0	0	0	0	0	0	0	5045	0	3	0
Crown_Oz_L138.fasta-gb_NT.fasta	99	1542	152658	6955	4.556	1044	0.677	886	0.575	0.593	0.407	45160	30158	29126	41166	0	0	51	42	0	0	0	0	0	0	0	6955	0	0	0
Crown_Oz_L139.fasta-gb_NT.fasta	100	1539	153900	2571	1.671	853	0.554	732	0.476	0.562	0.438	50605	34579	31744	34348	0	0	25	28	0	0	0	0	0	0	0	2121	0	450	0
Crown_Oz_L14.fasta-gb_NT.fasta	90	1047	94230	1488	1.579	566	0.541	473	0.452	0.547	0.453	26043	21364	20591	24707	0	0	12	25	0	0	0	0	0	0	0	1488	0	0	0
Crown_Oz_L140.fasta-gb_NT.fasta	56	471	26376	657	2.491	234	0.497	179	0.38	0.594	0.406	9188	5069	5360	6082	0	0	16	4	0	0	0	0	0	0	0	657	0	0	0
Crown_Oz_L141.fasta-gb_NT.fasta	99	1257	124443	4246	3.412	482	0.383	380	0.302	0.5	0.5	30747	28552	31522	29355	0	0	7	14	0	0	0	0	0	0	0	3637	0	609	0
Crown_Oz_L142.fasta-gb_NT.fasta	96	1545	148320	3899	2.629	846	0.548	716	0.463	0.487	0.513	39519	35442	38661	30754	0	0	17	28	0	0	0	0	0	0	0	1631	0	2268	0
Crown_Oz_L143.fasta-gb_NT.fasta	74	1392	103008	2726	2.646	858	0.616	721	0.518	0.485	0.515	26664	27187	24391	21908	0	0	63	69	0	0	0	0	0	0	0	2378	0	348	0
Crown_Oz_L144.fasta-gb_NT.fasta	94	705	66270	494	0.745	321	0.455	276	0.391	0.49	0.51	15993	17443	16111	16194	0	0	17	18	0	0	0	0	0	0	0	494	0	0	0
Crown_Oz_L145.fasta-gb_NT.fasta	99	1623	160677	3301	2.054	816	0.503	696	0.429	0.587	0.413	45444	29613	35274	46952	0	0	32	61	0	0	0	0	0	0	0	3010	0	291	0
Crown_Oz_L146.fasta-gb_NT.fasta	101	1686	170286	7236	4.249	1126	0.668	963	0.571	0.517	0.483	45505	40550	38172	38642	0	0	84	97	0	0	0	0	0	0	0	4530	0	2706	0
Crown_Oz_L147.fasta-gb_NT.fasta	70	888	62160	1535	2.469	544	0.613	477	0.537	0.534	0.466	14951	15640	12604	17359	0	0	23	48	0	0	0	0	0	0	0	1121	0	414	0
Crown_Oz_L148.fasta-gb_NT.fasta	99	1314	130086	3284	2.524	706	0.537	577	0.439	0.527	0.473	39914	30670	29254	26896	0	0	35	33	0	0	0	0	0	0	0	3002	0	282	0
Crown_Oz_L149.fasta-gb_NT.fasta	60	1254	75240	1208	1.606	527	0.42	452	0.36	0.51	0.49	21355	16735	19467	16400	0	0	33	42	0	0	0	0	0	0	0	1208	0	0	0
Crown_Oz_L15.fasta-gb_NT.fasta	87	681	59247	334	0.564	378	0.555	315	0.463	0.561	0.439	15074	12755	13072	17989	0	0	11	12	0	0	0	0	0	0	0	334	0	0	0
Crown_Oz_L150.fasta-gb_NT.fasta	74	1479	109446	4349	3.974	861	0.582	673	0.455	0.572	0.428	32755	23511	21405	27336	0	0	36	54	0	0	0	0	0	0	0	4130	0	219	0
Crown_Oz_L151.fasta-gb_NT.fasta	92	405	37260	1003	2.692	251	0.62	200	0.494	0.522	0.478	10916	9031	8266	7999	0	0	20	25	0	0	0	0	0	0	0	634	0	369	0
Crown_Oz_L152.fasta-gb_NT.fasta	98	1587	155526	2573	1.654	921	0.58	808	0.509	0.545	0.455	44457	34529	35016	38768	0	0	73	110	0	0	0	0	0	0	0	2573	0	0	0
Crown_Oz_L153.fasta-gb_NT.fasta	83	582	48306	333	0.689	315	0.541	269	0.462	0.521	0.479	13801	11334	11638	11172	0	0	13	15	0	0	0	0	0	0	0	333	0	0	0
Crown_Oz_L154.fasta-gb_NT.fasta	94	495	46530	1045	2.246	346	0.699	280	0.566	0.521	0.479	12620	9698	12063	11078	0	0	13	13	0	0	0	0	0	0	0	1045	0	0	0
Crown_Oz_L155.fasta-gb_NT.fasta	98	1431	140238	3940	2.81	959	0.67	857	0.599	0.606	0.394	49282	25559	28159	33228	0	0	29	41	0	0	0	0	0	0	0	3937	0	3	0
Crown_Oz_L156.fasta-gb_NT.fasta	100	1419	141900	1322	0.932	740	0.521	629	0.443	0.589	0.411	46866	32442	25373	35828	0	0	31	38	0	0	0	0	0	0	0	1280	0	42	0
Crown_Oz_L157.fasta-gb_NT.fasta	100	1611	161100	5693	3.534	858	0.533	723	0.449	0.571	0.429	45130	30790	35935	43467	0	0	36	49	0	0	0	0	0	0	0	3314	0	2379	0
Crown_Oz_L158.fasta-gb_NT.fasta	98	771	75558	104	0.138	432	0.56	374	0.485	0.574	0.426	22752	15512	16600	20540	0	0	15	35	0	0	0	0	0	0	0	104	0	0	0
Crown_Oz_L159.fasta-gb_NT.fasta	60	1365	81900	663	0.81	763	0.559	586	0.429	0.546	0.454	22965	17604	19245	21305	0	0	58	60	0	0	0	0	0	0	0	543	0	120	0
Crown_Oz_L16.fasta-gb_NT.fasta	73	1125	82125	798	0.972	544	0.484	461	0.41	0.55	0.45	24138	17666	18893	20565	0	0	34	31	0	0	0	0	0	0	0	582	0	216	0
Crown_Oz_L160.fasta-gb_NT.fasta	73	1716	125268	1546	1.234	859	0.501	720	0.42	0.575	0.425	42351	26622	25956	28716	0	0	34	43	0	0	0	0	0	0	0	1546	0	0	0
Crown_Oz_L161.fasta-gb_NT.fasta	69	1464	101016	4266	4.223	663	0.453	517	0.353	0.579	0.421	30916	22208	18452	25102	0	0	39	33	0	0	0	0	0	0	0	3387	0	879	0
Crown_Oz_L162.fasta-gb_NT.fasta	97	1197	116109	2850	2.455	728	0.608	628	0.525	0.578	0.422	35905	25623	22186	29512	0	0	15	18	0	0	0	0	0	0	0	2850	0	0	0
Crown_Oz_L163.fasta-gb_NT.fasta	99	1476	146124	3520	2.409	865	0.586	728	0.493	0.6	0.4	48934	25756	31222	36518	0	0	93	81	0	0	0	0	0	0	0	2608	0	912	0
Crown_Oz_L164.fasta-gb_NT.fasta	99	1467	145233	5206	3.585	692	0.472	553	0.377	0.541	0.459	41105	34157	29978	34693	0	0	44	50	0	0	0	0	0	0	0	3961	0	1245	0
Crown_Oz_L165.fasta-gb_NT.fasta	71	690	48990	462	0.943	305	0.442	238	0.345	0.572	0.428	15016	9283	11487	12690	0	0	21	31	0	0	0	0	0	0	0	252	0	210	0
Crown_Oz_L166.fasta-gb_NT.fasta	71	888	63048	226	0.358	403	0.454	323	0.364	0.587	0.413	21008	11943	14008	15836	0	0	15	12	0	0	0	0	0	0	0	226	0	0	0
Crown_Oz_L167.fasta-gb_NT.fasta	88	1086	95568	1997	2.09	787	0.725	660	0.608	0.54	0.46	25584	25931	17117	24914	0	0	14	11	0	0	0	0	0	0	0	1997	0	0	0
Crown_Oz_L168.fasta-gb_NT.fasta	101	1542	155742	1170	0.751	715	0.464	580	0.376	0.449	0.551	38598	45208	39948	30751	0	0	24	43	0	0	0	0	0	0	0	1170	0	0	0
Crown_Oz_L169.fasta-gb_NT.fasta	73	981	71613	2207	3.082	724	0.738	582	0.593	0.532	0.468	22961	13925	18500	13959	0	0	26	35	0	0	0	0	0	0	0	1991	0	216	0
Crown_Oz_L17.fasta-gb_NT.fasta	100	1671	167100	5205	3.115	1210	0.724	974	0.583	0.573	0.427	50080	31262	37940	42526	0	0	46	41	0	0	0	0	0	0	0	4797	0	408	0
Crown_Oz_L170.fasta-gb_NT.fasta	98	1401	137298	6085	4.432	812	0.58	700	0.5	0.443	0.557	31306	37911	35059	26788	0	0	60	89	0	0	0	0	0	0	0	6058	0	27	0
Crown_Oz_L171.fasta-gb_NT.fasta	98	1653	161994	5749	3.549	954	0.577	811	0.491	0.525	0.475	47372	36311	37889	34616	0	0	28	29	0	0	0	0	0	0	0	5539	0	210	0
Crown_Oz_L172.fasta-gb_NT.fasta	69	906	62514	2219	3.55	571	0.63	465	0.513	0.563	0.437	15610	13781	12485	18260	0	0	68	91	0	0	0	0	0	0	0	1604	0	615	0
Crown_Oz_L173.fasta-gb_NT.fasta	96	1497	143712	2525	1.757	750	0.501	644	0.43	0.544	0.456	39954	29729	34673	36727	0	0	46	58	0	0	0	0	0	0	0	2240	0	285	0
Crown_Oz_L174.fasta-gb_NT.fasta	68	738	50184	1753	3.493	353	0.478	292	0.396	0.577	0.423	15100	10284	10200	12806	0	0	25	16	0	0	0	0	0	0	0	1147	0	606	0
Crown_Oz_L175.fasta-gb_NT.fasta	72	927	66744	2142	3.209	445	0.48	309	0.333	0.544	0.456	17781	15295	14120	17347	0	0	28	31	0	0	0	0	0	0	0	1098	0	1044	0
Crown_Oz_L176.fasta-gb_NT.fasta	58	693	40194	1950	4.851	345	0.498	312	0.45	0.56	0.44	11210	8837	7978	10181	0	0	12	26	0	0	0	0	0	0	0	1476	0	474	0
Crown_Oz_L177.fasta-gb_NT.fasta	87	1128	98136	6820	6.95	737	0.653	621	0.551	0.494	0.506	25139	25676	20491	19956	0	0	20	34	0	0	0	0	0	0	0	4840	0	1980	0
Crown_Oz_L178.fasta-gb_NT.fasta	71	1206	85626	430	0.502	507	0.42	464	0.385	0.527	0.473	23286	19390	20880	21599	0	0	19	22	0	0	0	0	0	0	0	430	0	0	0
Crown_Oz_L179.fasta-gb_NT.fasta	97	774	75078	5370	7.153	491	0.634	422	0.545	0.505	0.495	21555	16199	18251	13619	0	0	49	35	0	0	0	0	0	0	0	3075	0	2295	0
Crown_Oz_L18.fasta-gb_NT.fasta	99	1524	150876	1005	0.666	784	0.514	666	0.437	0.598	0.402	46297	27919	32264	43277	0	0	51	63	0	0	0	0	0	0	0	1005	0	0	0
Crown_Oz_L180.fasta-gb_NT.fasta	69	1026	70794	1208	1.706	614	0.598	511	0.498	0.516	0.484	17579	17787	15860	18313	0	0	21	26	0	0	0	0	0	0	0	1046	0	162	0
Crown_Oz_L181.fasta-gb_NT.fasta	100	1839	183900	2770	1.506	1260	0.685	969	0.527	0.51	0.49	53553	38728	49930	38884	0	0	26	9	0	0	0	0	0	0	0	2770	0	0	0
Crown_Oz_L182.fasta-gb_NT.fasta	69	873	60237	1798	2.985	510	0.584	435	0.498	0.486	0.514	11208	14958	15070	17151	0	0	22	30	0	0	0	0	0	0	0	565	0	1233	0
Crown_Oz_L183.fasta-gb_NT.fasta	66	915	60390	2460	4.074	606	0.662	483	0.528	0.61	0.39	21389	9738	12811	13937	0	0	28	27	0	0	0	0	0	0	0	2460	0	0	0
Crown_Oz_L184.fasta-gb_NT.fasta	75	1605	120375	2111	1.754	986	0.614	770	0.48	0.578	0.422	37438	25369	24548	30815	0	0	49	45	0	0	0	0	0	0	0	2111	0	0	0
Crown_Oz_L185.fasta-gb_NT.fasta	96	1143	109728	2020	1.841	589	0.515	502	0.439	0.573	0.427	34610	22663	23271	27118	0	0	18	28	0	0	0	0	0	0	0	1732	0	288	0
Crown_Oz_L186.fasta-gb_NT.fasta	96	936	89856	2514	2.798	565	0.604	514	0.549	0.545	0.455	26431	19826	19884	21109	0	0	45	47	0	0	0	0	0	0	0	2139	0	375	0
Crown_Oz_L187.fasta-gb_NT.fasta	99	1569	155331	2559	1.647	926	0.59	764	0.487	0.563	0.437	47643	34820	31850	38386	0	0	36	37	0	0	0	0	0	0	0	2001	0	558	0
Crown_Oz_L188.fasta-gb_NT.fasta	92	1335	122820	604	0.492	675	0.506	563	0.422	0.568	0.432	41759	28864	23859	27676	0	0	33	25	0	0	0	0	0	0	0	604	0	0	0
Crown_Oz_L189.fasta-gb_NT.fasta	93	1038	96534	7126	7.382	774	0.746	646	0.622	0.635	0.365	27870	14395	18181	28881	0	0	44	37	0	0	0	0	0	0	0	6079	0	1047	0
Crown_Oz_L19.fasta-gb_NT.fasta	71	1284	91164	3913	4.292	905	0.705	765	0.596	0.606	0.394	33359	16671	17655	19480	0	0	46	40	0	0	0	0	0	0	0	3913	0	0	0
Crown_Oz_L190.fasta-gb_NT.fasta	98	1641	160818	1462	0.909	843	0.514	736	0.449	0.588	0.412	57269	34511	31142	36348	0	0	41	45	0	0	0	0	0	0	0	1462	0	0	0
Crown_Oz_L191.fasta-gb_NT.fasta	101	1302	131502	3788	2.881	818	0.628	623	0.478	0.59	0.41	42702	26502	25768	32689	0	0	20	33	0	0	0	0	0	0	0	2300	0	1488	0
Crown_Oz_L192.fasta-gb_NT.fasta	74	1191	88134	1713	1.944	568	0.477	423	0.355	0.577	0.423	26307	22428	14151	23503	0	0	7	25	0	0	0	0	0	0	0	1713	0	0	0
Crown_Oz_L193.fasta-gb_NT.fasta	73	1452	105996	2611	2.463	1024	0.705	883	0.608	0.587	0.413	32708	21496	21121	27998	0	0	27	35	0	0	0	0	0	0	0	2413	0	198	0
Crown_Oz_L194.fasta-gb_NT.fasta	98	1416	138768	21157	15.246	1107	0.782	989	0.698	0.555	0.445	36316	26080	26529	28617	0	0	27	42	0	0	0	0	0	0	0	10384	0	10773	0
Crown_Oz_L195.fasta-gb_NT.fasta	101	1524	153924	8476	5.507	790	0.518	663	0.435	0.556	0.444	49642	34097	30466	31162	0	0	35	46	0	0	0	0	0	0	0	8458	0	18	0
Crown_Oz_L196.fasta-gb_NT.fasta	73	1539	112347	4824	4.294	1042	0.677	885	0.575	0.52	0.48	32423	25342	26090	23522	0	0	76	70	0	0	0	0	0	0	0	4824	0	0	0
Crown_Oz_L197.fasta-gb_NT.fasta	100	1455	145500	2701	1.856	756	0.52	650	0.447	0.578	0.422	42842	31937	28329	39623	0	0	31	37	0	0	0	0	0	0	0	1804	0	897	0
Crown_Oz_L198.fasta-gb_NT.fasta	100	1089	108900	1673	1.536	697	0.64	548	0.503	0.514	0.486	31588	29089	23067	23420	0	0	31	32	0	0	0	0	0	0	0	1673	0	0	0
Crown_Oz_L199.fasta-gb_NT.fasta	98	1245	122010	5837	4.784	842	0.676	727	0.584	0.511	0.489	35211	32435	24279	24182	0	0	30	36	0	0	0	0	0	0	0	3548	0	2289	0
Crown_Oz_L2.fasta-gb_NT.fasta	87	1197	104139	4905	4.71	698	0.583	607	0.507	0.534	0.466	28034	22259	23952	24844	0	0	65	80	0	0	0	0	0	0	0	4641	0	264	0
Crown_Oz_L20.fasta-gb_NT.fasta	97	987	95739	2796	2.92	728	0.738	584	0.592	0.564	0.436	28522	21770	18678	23927	0	0	17	29	0	0	0	0	0	0	0	1926	0	870	0
Crown_Oz_L200.fasta-gb_NT.fasta	74	1866	138084	5803	4.203	1007	0.54	792	0.424	0.536	0.464	40112	32632	28720	30716	0	0	46	55	0	0	0	0	0	0	0	4921	0	882	0
Crown_Oz_L201.fasta-gb_NT.fasta	68	1065	72420	469	0.648	558	0.524	490	0.46	0.533	0.467	21335	18198	15411	16949	0	0	27	31	0	0	0	0	0	0	0	469	0	0	0
Crown_Oz_L202.fasta-gb_NT.fasta	97	855	82935	428	0.516	429	0.502	372	0.435	0.48	0.52	23246	24529	18345	16330	0	0	23	34	0	0	0	0	0	0	0	428	0	0	0
Crown_Oz_L203.fasta-gb_NT.fasta	64	648	41472	1508	3.636	523	0.807	427	0.659	0.565	0.435	12752	9697	7661	9802	0	0	29	23	0	0	0	0	0	0	0	1172	0	336	0
Crown_Oz_L204.fasta-gb_NT.fasta	74	1527	112998	6296	5.572	1075	0.704	868	0.568	0.578	0.422	35378	24791	20245	26205	0	0	44	39	0	0	0	0	0	0	0	5618	0	678	0
Crown_Oz_L205.fasta-gb_NT.fasta	99	927	91773	2169	2.363	524	0.565	441	0.476	0.49	0.51	25062	25088	20595	18765	0	0	23	71	0	0	0	0	0	0	0	1872	0	297	0
Crown_Oz_L206.fasta-gb_NT.fasta	100	1521	152100	3335	2.193	896	0.589	773	0.508	0.53	0.47	40396	34681	35247	38277	0	0	80	84	0	0	0	0	0	0	0	3335	0	0	0
Crown_Oz_L207.fasta-gb_NT.fasta	74	1008	74592	2961	3.97	586	0.581	545	0.541	0.499	0.501	17781	18579	17263	17976	0	0	18	14	0	0	0	0	0	0	0	2961	0	0	0
Crown_Oz_L208.fasta-gb_NT.fasta	97	1308	126876	6629	5.225	833	0.637	716	0.547	0.539	0.461	36882	29086	26256	27919	0	0	41	63	0	0	0	0	0	0	0	4361	0	2268	0
Crown_Oz_L209.fasta-gb_NT.fasta	94	744	69936	2482	3.549	495	0.665	413	0.555	0.522	0.478	20946	15453	16739	14263	0	0	24	29	0	0	0	0	0	0	0	1381	0	1101	0
Crown_Oz_L21.fasta-gb_NT.fasta	62	1317	81654	5238	6.415	852	0.647	695	0.528	0.559	0.441	23462	16121	17450	19318	0	0	34	31	0	0	0	0	0	0	0	4881	0	357	0
Crown_Oz_L210.fasta-gb_NT.fasta	73	1152	84096	3081	3.664	654	0.568	550	0.477	0.535	0.465	20064	19198	18421	23221	0	0	41	70	0	0	0	0	0	0	0	2481	0	600	0
Crown_Oz_L211.fasta-gb_NT.fasta	68	1083	73644	3815	5.18	543	0.501	436	0.403	0.562	0.438	19052	16105	14460	20146	0	0	25	41	0	0	0	0	0	0	0	2411	0	1404	0
Crown_Oz_L212.fasta-gb_NT.fasta	73	1683	122859	3832	3.119	797	0.474	555	0.33	0.555	0.445	34831	27281	25654	31148	0	0	44	69	0	0	0	0	0	0	0	2554	0	1278	0
Crown_Oz_L213.fasta-gb_NT.fasta	98	1707	167286	2048	1.224	1101	0.645	899	0.527	0.588	0.412	54353	38152	29851	42834	0	0	22	26	0	0	0	0	0	0	0	1763	0	285	0
Crown_Oz_L214.fasta-gb_NT.fasta	99	1386	137214	8424	6.139	888	0.641	748	0.54	0.546	0.454	39145	32106	26334	31160	0	0	23	22	0	0	0	0	0	0	0	5733	0	2691	0
Crown_Oz_L215.fasta-gb_NT.fasta	101	1701	171801	4111	2.393	1099	0.646	881	0.518	0.558	0.442	55710	35758	38240	37917	0	0	27	38	0	0	0	0	0	0	0	3511	0	600	0
Crown_Oz_L216.fasta-gb_NT.fasta	67	1320	88440	5478	6.194	849	0.643	655	0.496	0.474	0.526	21016	26060	17545	18244	0	0	43	54	0	0	0	0	0	0	0	5427	0	51	0
Crown_Oz_L217.fasta-gb_NT.fasta	101	972	98172	2135	2.175	514	0.529	446	0.459	0.557	0.443	30749	21801	20684	22744	0	0	18	41	0	0	0	0	0	0	0	1889	0	246	0
Crown_Oz_L218.fasta-gb_NT.fasta	72	1359	97848	5059	5.17	795	0.585	682	0.502	0.543	0.457	30002	21681	20630	20362	0	0	56	58	0	0	0	0	0	0	0	4849	0	210	0
