query_id,subject_id,subject_id_name,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Crown_Oz_L138,ENSXETG00000014581|ENSXETG00000014581.5|ENSXETT00000096060;ENSXETT00000054167|ENSXETT00000096060.2;ENSXETT00000054167.4|akap11|2|132794094|132818270|132803415|132807816,akap11,71.606,1039,1451,331,19,81,1039,71.61,23,1419,1542,91,91,236,1659,4602,0,751,832
Crown_Oz_L59,ENSXETG00000037915|ENSXETG00000037915.2|ENSXETT00000118650|ENSXETT00000118650.1|akap12|5|44926330|44989944|44978060|44983749,akap12,73.37,945,1288,303,17,40,945,73.37,13,1277,1281,99,99,1309,2579,5890,0,739,819
Crown_Oz_L169,ENSXETG00000012146|ENSXETG00000012146.5|ENSXETT00000084888;ENSXETT00000087303;ENSXETT00000089778;ENSXETT00000073918;ENSXETT00000079238;ENSXETT00000026518|ENSXETT00000084888.2;ENSXETT00000087303.2;ENSXETT00000089778.2;ENSXETT00000073918.2;ENSXETT00000079238.2;ENSXETT00000026518.5|aldh3b2|9|15183298|15274662|15257523|15261020,aldh3b2,72.119,657,911,241,6,13,657,72.12,25,926,978,92,92,30,936,3698,1.81E-135,484,536
Crown_Oz_L119,ENSXETG00000006385|ENSXETG00000006385.5|ENSXETT00000116276|ENSXETT00000116276.1|amotl1|2|164756707|165021759|164974359|164975256,amotl1,77.452,608,785,174,2,3,608,77.45,10,791,885,88,88,118,902,1098,1.33E-174,614,680
Crown_Oz_L209,ENSXETG00000030481|ENSXETG00000030481.3|ENSXETT00000063242|ENSXETT00000063242.3|angptl1|4|99748992|99767935|99760858|99761699,angptl1,75.613,524,693,144,10,25,524,75.61,56,732,732,92,92,261,944,1042,2.95E-131,470,520
Crown_Oz_L253,ENSXETG00000015555|ENSXETG00000015555.5|ENSXETT00000097791;ENSXETT00000071266;ENSXETT00000097607;ENSXETT00000088391;ENSXETT00000086961;ENSXETT00000087359;ENSXETT00000101840|ENSXETT00000097791.2;ENSXETT00000071266.2;ENSXETT00000097607.2;ENSXETT00000088391.2;ENSXETT00000086961.2;ENSXETT00000087359.2;ENSXETT00000101840.2|ank2|1|69037920|69321548|69289422|69296921,ank2,80.769,252,312,60,0,0,252,80.77,574,885,1002,43,31,7297,7608,7700,6.48E-78,293,324
Crown_Oz_L100,ENSXETG00000003121|ENSXETG00000003121.5|ENSXETT00000006764|ENSXETT00000006764.5|ank3|7|16458578|16783732|16474899|16483053,ank3,73.154,1357,1855,337,39,161,1357,73.15,1,1719,1722,99,99,1807,3636,8355,0,1086,1204
Crown_Oz_L390,ENSXETG00000018337|ENSXETG00000018337.6|ENSXETT00000039726|ENSXETT00000039726.5|ankhd1|3|31544997|31605456|31593940|31595507,ankhd1,68.344,326,477,129,15,22,326,68.34,2,464,630,73,73,100,568,1768,8.27E-30,132,146
Crown_Oz_L23,ENSXETG00000022980|ENSXETG00000022980.5|ENSXETT00000049710|ENSXETT00000049710.4|ankrd50|1|65305048|65331822|65321387|65324916,ankrd50,79.27,1216,1534,233,22,85,1216,79.27,2,1473,1476,99,99,2111,3621,3730,0,1322,1465
Crown_Oz_L33,ENSXETG00000021501|ENSXETG00000021501.5|ENSXETT00000080739|ENSXETT00000080739.2|apc|1|172931604|173010845|172941249|172951455,apc,77.045,1121,1455,303,8,31,1121,77.04,1,1443,1446,99,99,5199,6634,10407,0,1113,1234
Crown_Oz_L122,ENSXETG00000022775|ENSXETG00000022775.5|ENSXETT00000098817;ENSXETT00000060854;ENSXETT00000049283;ENSXETT00000124168;ENSXETT00000106808;ENSXETT00000090168;ENSXETT00000084593;ENSXETT00000106283;ENSXETT00000121022;ENSXETT00000114240|ENSXETT00000098817.2;ENSXETT00000060854.3;ENSXETT00000049283.5;ENSXETT00000124168.1;ENSXETT00000106808.1;ENSXETT00000090168.2;ENSXETT00000084593.2;ENSXETT00000106283.1;ENSXETT00000121022.1;ENSXETT00000114240.1|arhgap32|7|72440129|72752562|72440129|72442553,arhgap32,71.652,963,1344,318,24,63,963,71.65,79,1387,1398,94,94,785,2100,2625,0,666,738
Crown_Oz_L329,ENSXETG00000011226|ENSXETG00000011226.5|ENSXETT00000104511;ENSXETT00000078970;ENSXETT00000082448|ENSXETT00000104511.2;ENSXETT00000078970.2;ENSXETT00000082448.2|arid1b|5|52094237|52312730|52310789|52312730,arid1b,85.243,982,1152,159,6,11,982,85.24,6,1151,1152,99,99,769,1915,2142,0,1295,1435
Crown_Oz_L101,ENSXETG00000014055|ENSXETG00000014055.5|ENSXETT00000073561|ENSXETT00000073561.2|arid5b|7|17395308|17620783|17615450|17620783,arid5b,73.561,1291,1755,420,8,44,1291,73.56,92,1824,1824,95,95,507,2239,5534,0,1079,1196
Crown_Oz_L40,ENSXETG00000011881|ENSXETG00000011881.5|ENSXETT00000025953|ENSXETT00000025953.5|arsi|3|20823082|20837713|20836190|20837713,arsi,74.328,1051,1414,284,22,79,1051,74.33,1,1349,1350,99,99,102,1501,1724,0,893,990
Crown_Oz_L306,ENSXETG00000048706|ENSXETG00000048706.1|ENSXETT00000106321|ENSXETT00000106321.1|ASH1L|8|146450329|146493460|146470251|146474055,ASH1L,73.534,489,665,125,15,51,489,73.53,8,635,780,81,81,3118,2468,4005,6.94E-108,392,434
Crown_Oz_L187,ENSXETG00000020547|ENSXETG00000020547.6|ENSXETT00000044389|ENSXETT00000044389.5|asxl3|6|112390470|112459750|112454488|112459750,asxl3,80.145,1219,1521,267,9,35,1219,80.14,1,1509,1563,97,97,2099,3596,5463,0,1375,1524
Crown_Oz_L47,ENSXETG00000014184|ENSXETG00000014184.4|ENSXETT00000123358;ENSXETT00000030985|ENSXETT00000123358.1;ENSXETT00000030985.3|ATXN1|6|93333223|93473452|93428220|93430254,ATXN1,81.263,1171,1441,199,19,71,1171,81.26,4,1392,1395,99,99,708,2129,2235,0,1364,1512
Crown_Oz_L217,ENSXETG00000004532|ENSXETG00000004532.4|ENSXETT00000009849|ENSXETT00000009849.4|b3galt2|4|113553456|113559972|113557057|113559972,b3galt2,92.906,956,1029,4,16,69,956,92.91,4,969,969,99,99,479,1501,3116,0,1519,1684
Crown_Oz_L230,ENSXETG00000002206|ENSXETG00000002206.5|ENSXETT00000004688|ENSXETT00000004688.5|bcl11a|5|33980379|34071085|34064545|34066427,bcl11a,84.996,1065,1253,145,10,43,1065,85,9,1236,1239,99,99,93,1327,2083,0,1408,1561
Crown_Oz_L231,ENSXETG00000035457|ENSXETG00000035457.2|ENSXETT00000091267;ENSXETT00000083096|ENSXETT00000091267.2;ENSXETT00000083096.2|bcl11b|8|90429746|90499446|90432904|90434763,bcl11b,98.997,691,698,0,5,7,691,99,1,696,699,99,99,181,873,2060,0,1212,1343
Crown_Oz_L168,ENSXETG00000016298|ENSXETG00000016298.5|ENSXETT00000120643;ENSXETT00000106415;ENSXETT00000112995;ENSXETT00000087347;ENSXETT00000118921;ENSXETT00000035574|ENSXETT00000120643.1;ENSXETT00000106415.1;ENSXETT00000112995.1;ENSXETT00000087347.2;ENSXETT00000118921.1;ENSXETT00000035574.4|bcl9|2|8246616|8412178|8254391|8256638,bcl9,99.226,1539,1551,0,1,12,1539,99.23,1,1539,1542,99,99,791,2341,2448,0,2750,3049
Crown_Oz_L214,ENSXETG00000015528|ENSXETG00000015528.5|ENSXETT00000071519;ENSXETT00000033902|ENSXETT00000071519.2;ENSXETT00000033902.5|bcor|2|57375217|57412369|57391757|57394507,bcor,67.867,980,1444,344,28,120,980,67.87,17,1355,1359,99,99,129,1557,2951,7.72E-142,507,561
Crown_Oz_L216,ENSXETG00000007610|ENSXETG00000007610.5|ENSXETT00000016562;ENSXETT00000104992|ENSXETT00000016562.5;ENSXETT00000104992.2|bcorl1|8|54986766|55021973|55011252|55013900,bcorl1,76.746,901,1174,245,10,28,901,76.75,1,1157,1320,88,88,782,1944,2849,0,870,964
Crown_Oz_L148,ENSXETG00000033849|ENSXETG00000033849.3|ENSXETT00000113366;ENSXETT00000111783|ENSXETT00000113366.1;ENSXETT00000111783.1|begain|8|96720483|97031144|96721244|96722646,begain,78.762,1094,1389,202,22,93,1094,78.76,3,1311,1314,99,99,112,1487,1603,0,1169,1296
Crown_Oz_L125,ENSXETG00000032001|ENSXETG00000032001.3|ENSXETT00000117185;ENSXETT00000106227;ENSXETT00000116949;ENSXETT00000118842;ENSXETT00000113643;ENSXETT00000060882;ENSXETT00000111694;ENSXETT00000112175;ENSXETT00000124633;ENSXETT00000114450|ENSXETT00000117185.1;ENSXETT00000106227.1;ENSXETT00000116949.1;ENSXETT00000118842.1;ENSXETT00000113643.1;ENSXETT00000060882.3;ENSXETT00000111694.1;ENSXETT00000112175.1;ENSXETT00000124633.1;ENSXETT00000114450.1|bicd1|3|4910349|4984173|4939095|4940174,bicd1,78.81,848,1076,225,1,3,848,78.81,2,1077,1080,99,99,105,1177,1280,0,917,1016
Crown_Oz_L439,ENSXETG00000034175|ENSXETG00000034175.3|ENSXETT00000104464;ENSXETT00000091913|ENSXETT00000104464.2;ENSXETT00000091913.2|bicd2|4|150843431|150980512|150879093|150880094,bicd2,99.877,811,812,1,0,0,811,99.88,2,813,816,99,99,96,907,1202,0,1461,1619
Crown_Oz_L260,ENSXETG00000031648|ENSXETG00000031648.3|ENSXETT00000124204;ENSXETT00000106138;ENSXETT00000104752;ENSXETT00000117260;ENSXETT00000107139;ENSXETT00000064889|ENSXETT00000124204.1;ENSXETT00000106138.1;ENSXETT00000104752.2;ENSXETT00000117260.1;ENSXETT00000107139.1;ENSXETT00000064889.3|bicral|5|15020415|15057955|15037670|15039277,bicral,69.917,839,1200,311,13,50,839,69.92,133,1313,1584,75,75,251,1419,1808,2.76E-148,528,585
Crown_Oz_L315,ENSXETG00000017697|ENSXETG00000017697.6|ENSXETT00000078380;ENSXETT00000038396|ENSXETT00000078380.2;ENSXETT00000038396.5|birc6|5|45983171|46122755|46001224|46002615,birc6,81.38,1132,1391,256,1,3,1132,81.38,2,1392,1392,99,99,107,1494,1592,0,1340,1485
Crown_Oz_L321,ENSXETG00000022074|ENSXETG00000022074.5|ENSXETT00000098998|ENSXETT00000098998.2|bmpr2|9|52349433|52451126|52446316|52447571,bmpr2,99.125,1246,1257,2,2,9,1246,99.12,1,1248,1248,100,100,102,1358,1456,0,2217,2458
Crown_Oz_L162,ENSXETG00000016084|ENSXETG00000016084.4|ENSXETT00000035077|ENSXETT00000035077.4|bnc1|3|105521395|105539559|105524223|105526117,bnc1,70.033,860,1228,274,22,94,860,70.03,4,1150,1197,96,96,103,1317,2095,6.36E-155,550,609
Crown_Oz_L161,ENSXETG00000018036|ENSXETG00000018036.6|ENSXETT00000084372;ENSXETT00000071374;ENSXETT00000039103;ENSXETT00000081686|ENSXETT00000084372.2;ENSXETT00000071374.2;ENSXETT00000039103.6;ENSXETT00000081686.2|bnc2|1|117664613|117984534|117690487|117692471,bnc2,93.342,1360,1457,2,24,95,1360,93.34,69,1449,1452,95,95,99,1536,2185,0,2169,2405
Crown_Oz_L4,ENSXETG00000034752|ENSXETG00000034752.2|ENSXETT00000070780|ENSXETT00000070780.2|bsn|4|125160826|125319168|125180094|125186825,bsn,75.703,1212,1601,370,7,19,1212,75.7,1,1596,1641,97,97,2441,4027,6932,0,1121,1242
Crown_Oz_L180,ENSXETG00000039335|ENSXETG00000039335.2|ENSXETT00000119001|ENSXETT00000119001.1|btbd17|10|31602914|31620913|31602914|31604547,btbd17,75.629,782,1034,219,10,33,782,75.63,15,1023,1023,99,99,137,1162,1834,0,719,797
Crown_Oz_L97,ENSXETG00000040132|ENSXETG00000040132.2|ENSXETT00000067695|ENSXETT00000067695.2|c10orf71|7|62290559|62361292|62355141|62361170,c10orf71,69.011,726,1052,280,19,46,726,69.01,85,1107,1128,91,91,185,1219,6230,4.32E-106,388,429
Crown_Oz_L279,ENSXETG00000021592|ENSXETG00000021592.5|ENSXETT00000066958;ENSXETT00000046700;ENSXETT00000087409;ENSXETT00000092745|ENSXETT00000066958.2;ENSXETT00000046700.5;ENSXETT00000087409.2;ENSXETT00000092745.2|camsap1|8|5792560|5844063|5802586|5804944,camsap1,74.843,357,477,102,3,18,357,74.84,205,663,705,65,65,957,1433,2559,9.28E-87,323,357
Crown_Oz_L218,ENSXETG00000005227|ENSXETG00000005227.5|ENSXETT00000068468;ENSXETT00000087166;ENSXETT00000073095|ENSXETT00000068468.2;ENSXETT00000087166.2;ENSXETT00000073095.2|camsap2|4|111884376|111947813|111895375|111897553,camsap2,73.141,836,1143,278,9,29,836,73.14,5,1125,1356,99,83,790,1925,2379,0,677,750
Crown_Oz_L68,ENSXETG00000005040|ENSXETG00000005040.5|ENSXETT00000080173;ENSXETT00000103331;ENSXETT00000011010;ENSXETT00000093996|ENSXETT00000080173.2;ENSXETT00000103331.2;ENSXETT00000011010.4;ENSXETT00000093996.2|camta1|7|99992212|101167763|100994833|100996688,camta1,99.935,1532,1533,1,0,0,1532,99.93,28,1560,1563,98,98,106,1638,2056,0,2761,3061
Crown_Oz_L128,ENSXETG00000007328|ENSXETG00000007328.5|ENSXETT00000015965;ENSXETT00000095093|ENSXETT00000015965.5;ENSXETT00000095093.2|cand1|3|58412580|58435087|58426448|58427941,cand1,100,1498,1498,0,0,0,1498,100,3,1500,1500,99,99,99,1596,1694,0,2702,2996
Crown_Oz_L6,ENSXETG00000002427|ENSXETG00000002427.5|ENSXETT00000005176|ENSXETT00000005176.5|ccdc80|2|55493621|55531677|55525553|55527447,ccdc80,69.639,906,1301,299,24,96,906,69.64,73,1328,1332,94,94,451,1700,2095,2.47E-154,548,607
Crown_Oz_L229,ENSXETG00000006078|ENSXETG00000006078.6|ENSXETT00000070089|ENSXETT00000070089.2|CCDC85A|5|35147616|35280362|35259471|35260402,CCDC85A,85.629,858,1002,138,4,6,858,85.63,17,1018,1062,94,94,88,1083,1132,0,1154,1279
Crown_Oz_L360,ENSXETG00000025464|ENSXETG00000025464.4|ENSXETT00000054276;ENSXETT00000068624|ENSXETT00000054276.4;ENSXETT00000068624.2|ccdc85c|8|90638101|90723384|90722351|90723384,ccdc85c,81.302,587,722,132,1,3,587,81.3,39,760,801,90,90,425,1143,1234,0,692,767
Crown_Oz_L132,ENSXETG00000032327|ENSXETG00000032327.3|ENSXETT00000062244|ENSXETT00000062244.3|ccdc92|1|160773625|160786305|160783445|160785047,ccdc92,78.045,551,706,105,12,50,551,78.05,46,705,708,93,93,169,870,1803,3.95E-161,569,630
Crown_Oz_L53,ENSXETG00000008245|ENSXETG00000008245.5|ENSXETT00000076438;ENSXETT00000117051;ENSXETT00000018083;ENSXETT00000103064|ENSXETT00000076438.2;ENSXETT00000117051.1;ENSXETT00000018083.5;ENSXETT00000103064.2|ccn2|5|70072786|70076941|70072786|70074244,ccn2,82.803,260,314,43,2,11,260,82.8,2,306,309,99,99,99,410,1659,1.11E-87,324,359
Crown_Oz_L172,ENSXETG00000042814|ENSXETG00000042814.1|ENSXETT00000110025|ENSXETT00000110025.1|ccr7|10|8400364|8425638|8420526|8425638,ccr7,90.184,441,489,2,8,46,441,90.18,449,894,897,99,50,672,1157,5313,0,672,744
Crown_Oz_L179,ENSXETG00000004642|ENSXETG00000004642.4|ENSXETT00000105289|ENSXETT00000105289.1|cdc42ep4|10|31970342|31988836|31970342|31973584,cdc42ep4,69.486,460,662,121,15,81,460,69.49,4,587,750,94,78,295,953,3443,3.94E-79,297,329
Crown_Oz_L69,ENSXETG00000023306|ENSXETG00000023306.5|ENSXETT00000076961|ENSXETT00000076961.2|celsr1|3|74442409|74589577|74484908|74492375,celsr1,100,671,671,0,0,0,671,100,2,672,675,99,99,6162,6832,7668,0,1211,1342
Crown_Oz_L401,ENSXETG00000025040|ENSXETG00000025040.4|ENSXETT00000104608;ENSXETT00000096134|ENSXETT00000104608.2;ENSXETT00000096134.2|celsr2|2|63315762|63377570|63373019|63377570,celsr2,75.613,1141,1509,365,1,3,1141,75.61,2,1510,1527,99,99,3150,4655,4752,0,1063,1178
Crown_Oz_L272,ENSXETG00000016189|ENSXETG00000016189.5|ENSXETT00000069753;ENSXETT00000090715;ENSXETT00000068596|ENSXETT00000069753.2;ENSXETT00000090715.2;ENSXETT00000068596.2|celsr3|4|135986173|136099188|136094255|136099188,celsr3,100,1579,1579,0,0,0,1579,100,1,1579,1611,98,98,3456,5034,5134,0,2848,3158
Crown_Oz_L76,ENSXETG00000026004|ENSXETG00000026004.4|ENSXETT00000094266;ENSXETT00000043540;ENSXETT00000084424|ENSXETT00000094266.2;ENSXETT00000043540.5;ENSXETT00000084424.2|chd7|6|117135090|117218193|117149796|117151609,chd7,88.938,1399,1573,166,3,8,1399,88.94,1,1569,1569,100,100,346,1914,2014,0,2047,2269
Crown_Oz_L232,ENSXETG00000034440|ENSXETG00000034440.2|ENSXETT00000111971|ENSXETT00000111971.1|chmp3|1|17935814|17955177|17935814|17940571,chmp3,88.64,1030,1162,6,22,126,1030,88.64,1,1051,1116,94,94,102,1248,4958,0,1520,1685
Crown_Oz_L412,ENSXETG00000037602|ENSXETG00000037602.2|ENSXETT00000123266;ENSXETT00000103831|ENSXETT00000123266.1;ENSXETT00000103831.2|chrm1|4|32218126|32302052|32296285|32297933,chrm1,99.057,630,636,0,1,6,630,99.06,1,630,633,99,99,631,1266,1849,0,1122,1243
Crown_Oz_L374,ENSXETG00000017868|ENSXETG00000017868.6|ENSXETT00000054915|ENSXETT00000054915.5|chrm5|8|109982102|110083198|109982131|109986724,chrm5,100,728,728,0,0,0,728,100,2,729,732,99,99,546,1273,4794,0,1314,1456
Crown_Oz_L114,ENSXETG00000001015|ENSXETG00000001015.5|ENSXETT00000114301|ENSXETT00000114301.1|chst1|4|13751177|13786026|13783723|13785924,chst1,71.326,898,1259,278,18,83,898,71.33,2,1191,1200,99,99,141,1385,2402,0,646,716
Crown_Oz_L446,ENSXETG00000043032|ENSXETG00000043032.1|ENSXETT00000121470;ENSXETT00000123463;ENSXETT00000115505|ENSXETT00000121470.1;ENSXETT00000123463.1;ENSXETT00000115505.1|clasp1|9|89402487|89492761|89485476|89485940,clasp1,70.791,349,493,112,13,32,349,70.79,5,472,519,90,90,568,83,665,8.80E-54,213,235
Crown_Oz_L322,ENSXETG00000043302|ENSXETG00000043302.1|ENSXETT00000112502;ENSXETT00000108061;ENSXETT00000119173|ENSXETT00000112502.1;ENSXETT00000108061.1;ENSXETT00000119173.1|cmklr2|9|50620447|50654237|50646009|50654237,cmklr2,67.6,676,1000,249,18,75,676,67.6,86,1019,1038,90,90,164,1154,8429,1.80E-91,339,375
Crown_Oz_L19,ENSXETG00000021084|ENSXETG00000021084.5|ENSXETT00000121983;ENSXETT00000045574|ENSXETT00000121983.1;ENSXETT00000045574.5|cracd|1|40747910|40821950|40816791|40819314,cracd,68.15,781,1146,326,17,39,781,68.15,156,1277,1284,87,87,976,2106,2724,7.30E-104,380,421
Crown_Oz_L365,ENSXETG00000000363|ENSXETG00000000363.5|ENSXETT00000000764|ENSXETT00000000764.5|cspg4b|1|191890659|191916687|191896757|191900311,cspg4b,94.802,1003,1058,2,23,53,1003,94.8,3,1038,1041,99,99,1129,2155,3755,0,1606,1780
Crown_Oz_L110,ENSXETG00000023631|ENSXETG00000023631.5|ENSXETT00000099412|ENSXETT00000099412.2|ctbp2|7|20289514|20351566|20325261|20327494,ctbp2,75.833,1434,1891,365,27,92,1434,75.83,4,1820,1824,99,99,472,2344,2434,0,1315,1458
Crown_Oz_L66,ENSXETG00000021813|ENSXETG00000021813.6|ENSXETT00000047179|ENSXETT00000047179.6|cttnbp2|3|68584182|68651930|68618740|68622877,cttnbp2,75.304,1238,1644,271,27,135,1238,75.3,24,1565,1599,96,96,130,1740,4338,0,1142,1266
Crown_Oz_L382,ENSXETG00000048756|ENSXETG00000048756.1|ENSXETT00000115123|ENSXETT00000115123.1|cxcr2|9|85257421|85273110|85267927|85273110,cxcr2,73.248,627,856,217,9,12,627,73.25,4,854,945,90,90,257,1105,5384,1.74E-135,485,537
Crown_Oz_L116,ENSXETG00000006696|ENSXETG00000006696.6|ENSXETT00000073077;ENSXETT00000077976;ENSXETT00000084571|ENSXETT00000073077.2;ENSXETT00000077976.2;ENSXETT00000084571.2|dagla|4|23353689|23593710|23361168|23362089,dagla,76.242,706,926,214,3,6,706,76.24,1,922,1014,91,91,111,1034,1122,0,671,743
Crown_Oz_L87,ENSXETG00000017571|ENSXETG00000017571.5|ENSXETT00000038156|ENSXETT00000038156.5|dapk1|1|135276341|135363091|135359686|135362065,dapk1,81.092,995,1227,232,0,0,995,81.09,1,1227,1299,94,94,104,1330,2580,0,1168,1294
Crown_Oz_L303,ENSXETG00000013393|ENSXETG00000013393.5|ENSXETT00000124058;ENSXETT00000029360|ENSXETT00000124058.1;ENSXETT00000029360.5|disp2|8|114569413|114595926|114592134|114595926,disp2,74.507,1359,1824,454,6,11,1359,74.51,7,1826,1833,99,99,1106,2922,3993,0,1177,1304
Crown_Oz_L266,ENSXETG00000022525|ENSXETG00000022525.5|ENSXETT00000048762;ENSXETT00000081569;ENSXETT00000072782|ENSXETT00000048762.4;ENSXETT00000081569.2;ENSXETT00000072782.2|dll1|5|50487716|50496010|50489349|50490138,dll1,81.625,653,800,90,5,57,653,81.62,2,750,753,99,99,98,891,990,0,812,900
Crown_Oz_L84,ENSXETG00000015285|ENSXETG00000015285.5|ENSXETT00000033420|ENSXETT00000033420.5|dmrt3|1|128680689|128690964|128680689|128682481,dmrt3,75.742,715,944,223,2,6,715,75.74,10,950,960,98,98,109,1049,1993,0,667,739
Crown_Oz_L35,ENSXETG00000017568|ENSXETG00000017568.6|ENSXETT00000005611|ENSXETT00000005611.5|dmxl1|1|170639511|170717670|170673024|170674721,dmxl1,77.58,1308,1686,352,9,26,1308,77.58,1,1670,1674,99,99,115,1790,1898,0,1322,1465
Crown_Oz_L157,ENSXETG00000020770|ENSXETG00000020770.5|ENSXETT00000084143;ENSXETT00000044883;ENSXETT00000044880;ENSXETT00000044885|ENSXETT00000084143.2;ENSXETT00000044883.5;ENSXETT00000044880.5;ENSXETT00000044885.5|dmxl2|3|102629203|102703194|102663018|102664703,dmxl2,75.652,1277,1688,283,24,128,1277,75.65,5,1584,1587,99,99,112,1779,1886,0,1209,1340
Crown_Oz_L163,ENSXETG00000032283|ENSXETG00000032283.3|ENSXETT00000064214|ENSXETT00000064214.3|dnah3|9|24485545|24675837|24499915|24502056,dnah3,75.192,1176,1564,278,23,110,1176,75.19,4,1467,1470,99,99,358,1911,2342,0,1076,1192
Crown_Oz_L206,ENSXETG00000014119|ENSXETG00000014119.6|ENSXETT00000077676;ENSXETT00000073620;ENSXETT00000099660;ENSXETT00000030816|ENSXETT00000077676.2;ENSXETT00000073620.2;ENSXETT00000099660.2;ENSXETT00000030816.5|dop1b|2|13339608|13404594|13357715|13359293,dop1b,76.338,1155,1513,338,6,20,1155,76.34,6,1517,1521,99,99,171,1664,1779,0,1113,1233
Crown_Oz_L189,ENSXETG00000046620|ENSXETG00000046620.1|ENSXETT00000120257|ENSXETT00000120257.1|dsel|6|101815005|101836482|101822627|101836482,dsel,67.621,685,1013,246,25,82,685,67.62,53,1004,1026,93,93,2899,3890,14056,3.92E-87,324,358
Crown_Oz_L393,ENSXETG00000020444|ENSXETG00000020444.5|ENSXETT00000060121|ENSXETT00000060121.3|dsp|6|89172386|89212640|89208076|89212323,dsp,77.05,1118,1451,324,2,9,1118,77.05,1,1451,1455,99,99,1088,2529,4448,0,1115,1236
Crown_Oz_L45,ENSXETG00000020444|ENSXETG00000020444.5|ENSXETT00000060121|ENSXETT00000060121.3|dsp|6|89172386|89212640|89204072|89206366,dsp,76.851,1059,1378,317,2,2,1059,76.85,1,1377,1377,100,100,101,1477,2495,0,1042,1155
Crown_Oz_L261,ENSXETG00000022769|ENSXETG00000022769.5|ENSXETT00000049402;ENSXETT00000100586;ENSXETT00000087941|ENSXETT00000049402.5;ENSXETT00000100586.2;ENSXETT00000087941.2|dst|5|95386632|95668103|95565394|95570148,dst,75.915,643,847,170,10,34,643,75.91,1,824,921,89,89,701,1536,4955,1.07E-169,599,663
